model,len_bin,n,accuracy,macro_f1,macro_precision,macro_recall
LR,"(16.999, 66.0]",127,0.5354330708661418,0.48797920727745286,0.4945164506480559,0.4883637665592553
LR,"(66.0, 104.0]",125,0.608,0.5872888481235191,0.5831978319783198,0.6118673119580561
LR,"(104.0, 159.0]",122,0.6557377049180327,0.5870022650208409,0.5860215053763441,0.6401694721172565
LR,"(159.0, 1003.0]",125,0.488,0.3984795692112766,0.4163458381830662,0.3928379725481175
SVM,"(16.999, 66.0]",127,0.5275590551181102,0.42229885057471256,0.5333333333333333,0.43191311612364247
SVM,"(66.0, 104.0]",125,0.616,0.5308080808080807,0.5610769860769861,0.5244378907037709
SVM,"(104.0, 159.0]",122,0.639344262295082,0.4915651901492863,0.5389694041867955,0.481873353944807
SVM,"(159.0, 1003.0]",125,0.592,0.3950323700409893,0.4048491790759832,0.3993047567926795
NB,"(16.999, 66.0]",127,0.5511811023622047,0.3911351680361723,0.750286932283981,0.43274853801169594
NB,"(66.0, 104.0]",125,0.536,0.42086749851455735,0.6005198180636776,0.42900534381931843
NB,"(104.0, 159.0]",122,0.6557377049180327,0.46503785709741036,0.5668934240362812,0.4557540364136036
NB,"(159.0, 1003.0]",125,0.616,0.3901184734147482,0.5153439153439153,0.4012729085192854
FNN,"(16.999, 66.0]",127,0.5748031496062992,0.4409061805143249,0.7195652173913043,0.46365914786967416
FNN,"(66.0, 104.0]",125,0.576,0.4126934824248072,0.3885525591634562,0.4473180076628352
FNN,"(104.0, 159.0]",122,0.6885245901639344,0.4709124311083895,0.4495995581331124,0.49742356578495367
FNN,"(159.0, 1003.0]",125,0.52,0.3466452724787544,0.318001443001443,0.4127750939345143
BERT,"(16.999, 66.0]",127,0.5748031496062992,0.4927409988385598,0.5443592552026287,0.4899152643513545
BERT,"(66.0, 104.0]",125,0.632,0.5583873096414179,0.6502185211433972,0.5429396047590239
BERT,"(104.0, 159.0]",122,0.6639344262295082,0.5779523435454307,0.5979740424184868,0.5921790908049925
BERT,"(159.0, 1003.0]",125,0.656,0.5225742980118877,0.565223980117597,0.5027733047056718
